x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std,row_id
770170.3300000001,6270680.58,2,0,1.1479294456511688,1.1736400576907835,1.1607847516709762,0.018180148121668,0.0257106120396146,864.3210121945924,527.5,129.4005409571382,-2280986
770170.6300000001,6270680.58,2,0,1.0084397814948858,1.039468084192544,1.0239539328437148,0.0219403232462228,0.0310283026976581,716.1920018235309,922.5,316.07673119038674,-2280986
770170.93,6270680.58,3,0,0.8021229220238464,1.1457280192350785,1.0173079599909496,0.1875159642723352,0.3436050972112321,97.01059036630524,360.6666666666667,106.30772941481412,-2280986
770170.03,6270680.879999999,1,0,1.068412205059941,1.068412205059941,1.068412205059941,0.0,0.0,11.11111111111111,911.0,0.0,-2280986
770170.3300000001,6270680.879999999,6,0,0.9350983845240916,1.0526821979314116,0.9856299789958674,0.0456556012635948,0.1175838134073199,566.9714626087851,922.1666666666666,174.33808151596332,-2280986
770170.6300000001,6270680.879999999,5,0,0.52928724844387,1.0514327393040466,0.8624053250429771,0.1976757972514758,0.5221454908601766,106.3986121263519,915.4,226.6203874323756,-2280986
770170.93,6270680.879999999,3,0,0.910999996946722,1.115325123557553,1.0400648119281275,0.1122870552505853,0.204325126610831,163.13868923630648,698.3333333333334,133.86684926946378,-2280986
770169.1300000001,6270681.18,2,0,0.9006854755855009,0.9446386486357614,0.9226620621106312,0.0310795867185049,0.0439531730502604,505.5885771161755,618.5,102.5304832720494,-2280986
770169.43,6270681.18,1,0,1.130855640076371,1.130855640076371,1.130855640076371,0.0,0.0,11.11111111111111,440.0,0.0,-2280986
770169.7300000001,6270681.18,4,0,0.9350380302203644,1.1270652485504007,1.032931965690798,0.0856534668224449,0.1920272183300362,231.4486708236225,725.75,343.5562787472624,-2280986
770170.03,6270681.18,6,0,0.9106460274383544,1.0117998001653632,0.9672844010497073,0.0385904128557606,0.1011537727270086,659.062582337735,994.6666666666666,144.48344772556706,-2280986
770170.3300000001,6270681.18,2,0,0.8748740305807168,1.0197454192647708,0.9473097249227438,0.1024395413384066,0.144871388684054,153.39276046208164,481.0,59.39696961966999,-2280986
770170.6300000001,6270681.18,6,0,0.7702297299295822,1.1262689190824542,0.929206257509412,0.123812836313255,0.356039189152872,187.2453052858799,868.1666666666666,321.3007417773365,-2280986
770170.93,6270681.18,3,0,0.8510563193472453,1.0924206222960846,0.9875386976143792,0.1237462047280576,0.2413643029488392,138.10382449304788,616.3333333333334,295.16323167585307,-2280986
770168.8300000001,6270681.48,3,0,0.7666175885070885,0.8841946077597083,0.8234007197622883,0.0588910306525253,0.1175770192526197,283.5021124469493,739.6666666666666,373.2309383388968,-2280986
770169.1300000001,6270681.48,3,0,0.7621250334540894,1.017685812799427,0.8832402405149559,0.1283008260403848,0.2555607793453376,130.43211645668922,793.6666666666666,236.60586073327372,-2280986
770169.43,6270681.48,4,0,0.8299170318793978,1.0807816541083444,0.9980488096694168,0.1147351813141102,0.2508646222289465,177.16505440086772,873.25,350.61315339463994,-2280986
770169.7300000001,6270681.48,4,0,0.8403796918199626,0.89286720650008,0.8734694167164319,0.0228410275619741,0.0524875146801173,846.7622198404512,1005.75,72.9446136919421,-2280986
770170.03,6270681.48,3,0,0.8235947194221547,1.0302456334075547,0.9463739872798428,0.1086807358010723,0.2066509139854,161.3026174938106,664.0,205.0073169425911,-2280986
770170.3300000001,6270681.48,2,0,0.8619320667659824,0.9584921714586264,0.9102121191123044,0.0682783048202516,0.096560104692644,230.1387544364904,628.0,171.1198410471445,-2280986
770168.2300000001,6270681.779999999,2,0,0.8489654832983362,0.9019419570783836,0.8754537201883599,0.0374600238532228,0.0529764737800473,419.47341218833327,514.5,67.17514421272202,-2280986
770168.53,6270681.779999999,1,0,0.8787113443897798,0.8787113443897798,0.8787113443897798,0.0,0.0,11.11111111111111,1006.0,0.0,-2280986
770168.8300000001,6270681.779999999,6,0,0.744631749277163,0.9048936659107464,0.8414612159369104,0.0559665657485264,0.1602619166335834,415.98570681698953,1081.1666666666667,104.35212823256973,-2280986
770169.1300000001,6270681.779999999,5,0,0.9714877766217728,1.014564317298941,0.9953165854812004,0.0159338521645094,0.043076540677168,1289.6939884729834,1099.6,172.64501151206196,-2280986
770169.43,6270681.779999999,3,0,0.88983540344275,0.9207031824476904,0.9055395038461476,0.0154409840025627,0.0308677790049403,1079.8746915998854,1048.6666666666667,194.5773196786648,-2280986
770169.7300000001,6270681.779999999,3,0,0.9301532861278696,1.061618442226874,0.9840773393381256,0.0688410894282707,0.1314651560990043,253.55260909005068,611.3333333333334,272.3826964646127,-2280986
770170.03,6270681.779999999,1,0,1.1295567697385485,1.1295567697385485,1.1295567697385485,0.0,0.0,11.11111111111111,185.0,0.0,-2280986
770167.93,6270682.08,2,0,0.992369971270688,1.1138787606660845,1.0531243659683862,0.0859196889552529,0.1215087893953965,182.88571824964723,240.5,102.5304832720494,-2280986
770168.2300000001,6270682.08,1,0,0.8649488175933753,0.8649488175933753,0.8649488175933753,0.0,0.0,11.11111111111111,944.0,0.0,-2280986
770168.53,6270682.08,6,0,0.7607486517212863,0.9162559134676114,0.8669833319914568,0.0676294301891056,0.1555072617463251,428.704524264714,1126.8333333333333,79.54726058555795,-2280986
770168.8300000001,6270682.08,2,0,0.8008001577826693,0.8466723743101001,0.8237362660463847,0.0324365553746039,0.0458722165274307,484.4375071549839,1154.5,2.1213203435596424,-2280986
