row_id,seq,x,y,status,nearest_dist_m
-2281028,0,770206.024831449,6270782.4654946085,present,0.16912035758190697
-2281028,1,770205.1538763932,6270782.994898662,present,0.08655548611456383
-2281028,2,770204.2829213375,6270783.524302715,present,0.05919779092463014
-2281028,3,770203.4119662818,6270784.053706769,present,0.10742896829332742
-2281028,4,770202.541011226,6270784.583110822,present,0.021240264432431006
-2281028,5,770201.6700561703,6270785.112514876,present,0.06829319688168198
-2281028,6,770200.7991011146,6270785.641918929,present,0.11991623165458536
-2281028,7,770199.9281460589,6270786.171322984,present,0.13605425977021393
-2281028,8,770199.0571910031,6270786.700727037,present,0.08272554415943513
-2281028,9,770198.1862359474,6270787.230131091,present,0.06686639823314586
-2281028,10,770197.3152808917,6270787.759535144,present,0.04030169743778269
-2281028,11,770196.444325836,6270788.288939198,present,0.0494451461171682
-2281028,12,770195.5733707802,6270788.818343251,present,0.0765002363358171
-2281028,13,770194.7024157245,6270789.3477473045,present,0.08635520358231402
-2281028,14,770193.8314606688,6270789.877151358,present,0.11436136963417401
-2281028,15,770192.960505613,6270790.406555411,present,0.11363917609401719
-2281028,16,770192.0895505573,6270790.935959465,present,0.10158386106663547
-2281028,17,770191.2185955016,6270791.465363518,present,0.005544361546343671
-2281028,18,770190.3476404459,6270791.994767572,present,0.1442319382707564
-2281028,19,770189.4766853901,6270792.524171625,present,0.11509630324213818
-2281028,20,770188.6057303344,6270793.053575679,present,0.12370846850408353
-2281028,21,770187.7347752787,6270793.582979732,present,0.028368292234951863
-2281028,22,770186.863820223,6270794.112383786,present,0.047769215887775926
-2281028,23,770185.9928651672,6270794.641787839,present,0.027718449160040855
-2281028,24,770185.1219101115,6270795.171191893,present,0.011959475187595669
-2281028,25,770184.2509550558,6270795.700595946,present,0.041330463330686275
-2281028,26,770183.3800000001,6270796.2299999995,present,0.04123105635104575
-2281028,27,770182.5090449443,6270796.759404053,present,0.05476371219663479
-2281028,28,770181.6380898886,6270797.288808106,present,0.06986060613635282
-2281028,29,770180.7671348329,6270797.81821216,present,0.1180320466527071
-2281028,30,770179.8961797771,6270798.347616213,present,0.17213812864919542
-2281028,31,770179.0252247214,6270798.877020267,present,0.08084158264492321
-2281028,32,770178.1542696657,6270799.40642432,present,0.10514971352932401
-2281028,33,770177.28331461,6270799.935828374,present,0.10145412997026804
-2281028,34,770176.4123595542,6270800.465232427,present,0.15435953623389695
-2281028,35,770175.5414044985,6270800.994636481,present,0.14226593097275758
-2281028,36,770174.6704494428,6270801.524040534,present,0.06474876959430702
-2281028,37,770173.7994943871,6270802.053444588,present,0.03344840976460663
-2281028,38,770172.9285393313,6270802.582848641,present,0.03129825873988887
-2281028,39,770172.0575842756,6270803.112252695,present,0.14535787588794574
-2281028,40,770171.1866292199,6270803.641656748,present,0.09637300984867178
-2281028,41,770170.3156741641,6270804.1710608015,present,0.07914286575549655
-2281028,42,770169.4447191084,6270804.700464855,present,0.07855388141082445
-2281028,43,770168.5737640527,6270805.229868908,present,0.09768072604113805
-2281028,44,770167.702808997,6270805.759272962,present,0.13613403086615125
-2281028,45,770166.8318539412,6270806.288677015,present,0.07133409579499034
-2281028,46,770165.9608988855,6270806.81808107,present,0.0745889435777973
-2281028,47,770165.0899438298,6270807.347485123,present,0.08640721959718684
-2281028,48,770164.2189887741,6270807.876889177,present,0.0564033072390833
-2281028,49,770163.3480337183,6270808.40629323,present,0.10852159801773645
-2281028,50,770162.4770786626,6270808.935697284,present,0.10007441608486534
-2281028,51,770161.6061236069,6270809.465101337,present,0.05783860115832746
-2281028,52,770160.7351685511,6270809.9945053905,present,0.07124778795029538
-2281027,0,770159.8911548068,6270808.457750888,present,0.21150979450830515
-2281027,1,770160.7540191541,6270807.926757444,present,0.2572199762983527
-2281027,2,770161.6168835013,6270807.395763999,present,0.10598776361151395
-2281027,3,770162.4797478485,6270806.864770555,present,0.3521206195510301
-2281027,4,770163.3426121956,6270806.33377711,present,0.16539904030856278
-2281027,5,770164.2054765428,6270805.802783665,present,0.28165989034787353
-2281027,6,770165.06834089,6270805.271790221,present,0.27659728051761684
-2281027,7,770165.9312052372,6270804.7407967765,present,0.35372282309606584
-2281027,8,770166.7940695843,6270804.209803333,present,0.2290326039373932
-2281027,9,770167.6569339316,6270803.678809888,ambiguous,0.6855811037066668
-2281027,10,770168.5197982788,6270803.147816444,present,0.28429025040377676
-2281027,11,770169.382662626,6270802.616822999,present,0.2050034397341697
-2281027,12,770170.2455269732,6270802.085829555,present,0.3403890932507733
-2281027,13,770171.1083913203,6270801.55483611,present,0.26392361993185004
-2281027,14,770171.9712556675,6270801.023842666,present,0.30084198989884164
-2281027,15,770172.8341200147,6270800.492849221,present,0.17719156541487077
-2281027,16,770173.6969843619,6270799.961855777,present,0.40619773893566746
-2281027,17,770174.559848709,6270799.430862333,present,0.29746179567475806
-2281027,18,770175.4227130563,6270798.899868888,present,0.22625347217030817
-2281027,19,770176.2855774035,6270798.368875444,present,0.11634172557293679
-2281027,20,770177.1484417507,6270797.837881999,present,0.2392558753469458
-2281027,21,770178.0113060978,6270797.306888555,present,0.09073321565276635
-2281027,22,770178.874170445,6270796.77589511,present,0.18703555954642662
-2281027,23,770179.7370347922,6270796.244901666,present,0.2915831182793946
-2281027,24,770180.5998991394,6270795.713908222,present,0.2921371723114054
-2281027,25,770181.4627634865,6270795.182914778,present,0.2904260629050318
-2281027,26,770182.3256278338,6270794.651921333,present,0.19727061925560616
-2281027,27,770183.188492181,6270794.120927888,present,0.18022191091100692
-2281027,28,770184.0513565282,6270793.589934444,present,0.1815356639993468
-2281027,29,770184.9142208754,6270793.058940999,present,0.1624738660090715
-2281027,30,770185.7770852225,6270792.527947555,present,0.1803642597154895
-2281027,31,770186.6399495697,6270791.99695411,present,0.225656661545949
-2281027,32,770187.5028139169,6270791.465960667,present,0.12552774340987952
-2281027,33,770188.3656782641,6270790.934967222,present,0.09875719051852809
